0, [1.00000000e+01 4.94987833e-13], be, [-1, 1]
1, [2.22044605e-15 2.00000000e+01], le, [1, -1]
2, [ 0. 40.], ltc, [1, -1]
3, [40. 40.], rtc, [-1, -1]
4, [40.  0.], rbc, [-1, 1]
5, [9.5344748  6.03118242], ellipse, [-1, -1]
6, [ 8.04116376 11.88943823], center, [0, 0]
7, [ 5.13093076 17.1666595 ], center, [0, 0]
8, [ 0.         33.33333333], le, [1, -1]
9, [ 0.         26.66666667], le, [1, -1]
10, [32. 40.], te, [-1, -1]
11, [24. 40.], te, [-1, -1]
12, [16. 40.], te, [-1, -1]
13, [ 8. 40.], te, [-1, -1]
14, [40.  8.], re, [-1, -1]
15, [40. 16.], re, [-1, -1]
16, [40. 24.], re, [-1, -1]
17, [40. 32.], re, [-1, -1]
18, [17.5  0. ], be, [-1, 1]
19, [25.  0.], be, [-1, 1]
20, [32.5  0. ], be, [-1, 1]
21, [32.50398195 16.50398195], center, [0, 0]
22, [10.40145054 19.91329594], center, [0, 0]
23, [24. 32.], center, [0, 0]
24, [ 7.79768668 31.64312616], center, [0, 0]
25, [24.64327754  7.19631945], center, [0, 0]
26, [15.35621821  7.62522289], center, [0, 0]
27, [32. 32.], center, [0, 0]
28, [32.60246882  8.04278103], center, [0, 0]
29, [ 6.14046152 23.5123765 ], center, [0, 0]
30, [26.57983642 13.72279152], center, [0, 0]
31, [15.64515385 32.35484615], center, [0, 0]
32, [14.0586083  14.30067174], center, [0, 0]
33, [26.48641422 26.13359175], center, [0, 0]
34, [32.24012317 24.26385878], center, [0, 0]
35, [12.8406295  25.81376782], center, [0, 0]
36, [20.70108504 25.16646225], center, [0, 0]
37, [15.83539722 20.92551786], center, [0, 0]
38, [26.44026155 20.41501894], center, [0, 0]
39, [20.51638347 15.62171495], center, [0, 0]
